feature,importance_mean,importance_std
AGE,0.07555624094449787,0.01524699467832074
mut_TP53,0.03958814500279737,0.01150223186501788
mut_NSD1,0.025407049304967833,0.007435925536858851
total_mutations,0.02468189186475207,0.011014617831041712
mut_CDKN2A,0.008543373165588397,0.0024503425120539876
mut_NOTCH1,0.007625270768480452,0.002503989874919801
mut_FAT1,0.00703495961783992,0.0020479759425895802
mut_KMT2C,0.006213688332926903,0.0023043540945898553
mut_PIK3CA,0.005847164641581459,0.001942081191016038
mut_HRAS,0.005527980605086902,0.00420395008450765
mut_KMT2D,0.0043566827812765,0.0012737192521489655
mut_EP300,0.00295442482319358,0.0036452892671035254
mut_EGFR,0.0021639960406834467,0.0021793085541578342
mut_CASP8,0.0016167209399073346,0.0028614590122061924
mut_ARID1A,0.0014653774978840906,0.00018901189436978355
mut_SMAD4,0.0010837911890860807,0.0003816301243156784
mut_PTEN,0.001008478101823329,0.0009784916830373508
mut_FBXW7,0.0008671764047684105,0.0007960470457908778
mut_APC,0.0008535483223113371,0.0007103483569203461
mut_ATM,0.0007574344776141051,0.00029952596034323145
mut_RB1,0.0006168500480569605,0.0013543560295864135
mut_BRAF,0.0003155976990058873,0.0006553093407461114
mut_PIK3R1,0.00027829978912338185,0.00062607880038308
mut_GATA3,0.0002087248418425447,0.00016789116340765834
mut_STK11,0.0,0.0
mut_MYC,-4.23187823666904e-05,8.092417766857535e-05
mut_NF1,-0.00011834913712717165,0.0005615086814549993
